country,foreign_entity_name,client_name,foreign_ownership_pct,foreign_contribution,filing_year
Virgin Islands (British),TCH GOLD LIMITED (THROUGH INTEREST IN OPEN WEALTH INVESTMENTS LIMITED),"EPIC GAMES, INC.",34.1,0.0,2025
Virgin Islands (British),TCH GOLD LIMITED (THROUGH INTEREST IN OPEN WEALTH INVESTMENTS LIMITED),"EPIC GAMES, INC.",33.2,0.0,2025
Cayman Islands,QUANTINUUM (CAYMAN),QUANTINUUM LLC,100.0,0.0,2025
Cayman Islands,"AE HOLDINGS, LP","AE INDUSTRIAL PARTNERS, LP",99.0,0.0,2025
Cayman Islands,GLOBALFOUNDRIES INC. (OWNS 99% OF GLOBALFOUNDRIES NETHERLANDS COOPERATIEF U.A.),COZEN O'CONNOR PUBLIC STRATEGIES O/B/O GLOBALFOUNDRIES U.S. INC,99.0,0.0,2025
Cayman Islands,ANT INTERNATIONAL (CAYMAN) HOLDING LIMITED,"ANT GROUP CO., LTD.",0.0,0.0,2025
Luxembourg,MALLINCKRODT INTERNATIONAL FINANCE SA,ST SHARED SERVICES LLC DBA KEENOVA THERAPEUTICS,100.0,0.0,2025
Luxembourg,TARGET INTERNATIONAL INVESTMENTS SARL,"ANT GROUP CO., LTD.",0.0,0.0,2025
Luxembourg,NOVOCURE LUXEMBOURG S.A.R.L. (OWNS 100% OF NOVOCURE GMBH),NOVOCURE INC.,100.0,0.0,2025
Bermuda,ASSURED GUARANTY LTD.,"ASSURED GUARANTY, INC.",100.0,0.0,2025
Virgin Islands (British),OKX GLOBAL HOLDING COMPANY LTD.,OKX INC.,100.0,0.0,2026
Virgin Islands (British),STARXU CAPITAL LIMITED,OKX INC.,34.84,0.0,2026
Virgin Islands (British),OKEM SERVICES COMPANY LIMITED,OKX INC.,39.57,0.0,2026
Cayman Islands,OKC HOLDINGS CORPORATION,OKX INC.,100.0,0.0,2026
Cayman Islands,SALAMANDER INTERNATIONAL LLC,SALAMANDER SOLUTIONS INC.,100.0,0.0,2026
Cayman Islands,SALAMANDER INTERNATIONAL HOLDINGS LLC,SALAMANDER SOLUTIONS INC.,100.0,0.0,2026
Cayman Islands,DMCX7318 LTD.,SALAMANDER SOLUTIONS INC.,100.0,0.0,2026
Luxembourg,SES S.A.,SES SPACE & DEFENSE,100.0,0.0,2026
Luxembourg,MALLINCKRODT INTERNATIONAL FINANCE SA,ST SHARED SERVICES LLC DBA KEENOVA THERAPEUTICS (FKA ST SHARED SERVICES LLC DBA,100.0,0.0,2025
Bermuda,CONCORD RESOURCES HOLDINGS LIMITED,ATALCO GRAMERCY LLC,100.0,0.0,2025
Bermuda,EL TESORO (SPV BERMUDA) LIMITED,TWIN METALS MINNESOTA,100.0,0.0,2025
Virgin Islands (British),PAG ASIA CAPITAL LEXMARK HOLDING LIMITED,LEXMARK INTERNATIONAL INC.,32.51,0.0,2022
Virgin Islands (British),DJI COMPANY LIMITED,DJI TECHNOLOGY,100.0,0.0,2022
Virgin Islands (British),WANGDRAGONA INC.,DJI TECHNOLOGY,40.0,0.0,2022
Cayman Islands,DJI INTERNATIONAL COMPANY LIMITED,DJI TECHNOLOGY,100.0,0.0,2022
Luxembourg,SIGMA LUXCO S. A.R.L.,VAN SCOYOC ASSOCIATES (UPFIELD US INC.),100.0,0.0,2022
Luxembourg,CLEARSTREAM BANKING S.A. (OWNS 57% OF NEL ASA),"CLARK STREET ASSOC. ON BEHALF OF PROTON ENERGY SYSTEMS, INC. D/B/A NEL HYDROGEN",57.0,0.0,2022
Luxembourg,CLEARSTREAM INTERNATIONAL (OWNS 100% OF CLEARSTREAM BANKING S.A.),"CLARK STREET ASSOC. ON BEHALF OF PROTON ENERGY SYSTEMS, INC. D/B/A NEL HYDROGEN",100.0,0.0,2022
Virgin Islands (British),TENACIOUS BULLDOG HOLDINGS LIMITED,VNG LIMITED,46.5,0.0,2023
Virgin Islands (British),BYTETEAM LTD. (OWNS APPROXIMATELY 21% OF BYTEDANCE LTD.),TIKTOK INC.,21.0,0.0,2023
Virgin Islands (British),TCH GOLD LIMITED (THROUGH INTEREST IN OPEN WEALTH INVESTMENTS LIMITED),"RIOT GAMES, INC.",100.0,0.0,2023
Cayman Islands,BYTEDANCE LTD. (OWNS 100% OF BYTEDANCE INC.; 100% OF TIKTOK LTD.),TIKTOK INC.,100.0,0.0,2023
