filing_year,filing_period,issue_code,total_spend,quarter,issue_display
2026,first_quarter,FIN,66584468.74324693,1,Financial Institutions/Investments/Securities
2024,fourth_quarter,FOO,7215453.661451734,4,"Food Industry (safety, labeling, etc.)"
2024,fourth_quarter,AGR,27599900.895992517,4,Agriculture
2022,first_quarter,NAT,14976610.002492746,1,Natural Resources
2024,first_quarter,TRA,41890949.937927075,1,Transportation
2023,third_quarter,MED,5125747.547271911,3,Medical/Disease Research/Clinical Labs
2025,fourth_quarter,BUD,112995078.49210769,4,Budget/Appropriations
2023,third_quarter,ENV,29853361.88024768,3,Environment/Superfund
2026,first_quarter,AVI,17425906.557326235,1,Aviation/Airlines/Airports
2025,second_quarter,FIN,61852876.74460266,2,Financial Institutions/Investments/Securities
2022,fourth_quarter,BAN,24859228.565794084,4,Banking
2023,first_quarter,GOV,16738429.043851051,1,Government Issues
2024,second_quarter,CPT,23224217.115419626,2,Copyright/Patent/Trademark
2024,second_quarter,RET,9579756.819117175,2,Retirement
2025,second_quarter,AGR,31121281.857534204,2,Agriculture
2024,fourth_quarter,IND,7374591.42313622,4,Indian/Native American Affairs
2025,second_quarter,GOV,21333195.98301264,2,Government Issues
2022,first_quarter,BAN,24509196.841828004,1,Banking
2024,third_quarter,ENG,46876916.5976257,3,Energy/Nuclear
2025,first_quarter,INT,3575088.1324675325,1,Intelligence
2025,fourth_quarter,MED,6781158.84777918,4,Medical/Disease Research/Clinical Labs
2025,first_quarter,PHA,17536368.04083694,1,Pharmacy
2022,second_quarter,CPT,25982989.133001186,2,Copyright/Patent/Trademark
2025,third_quarter,CSP,18169680.909527805,3,Consumer Issues/Safety/Products
2024,first_quarter,COM,16242079.44838299,1,Communications/Broadcasting/Radio/TV
2023,fourth_quarter,AER,7767698.243660408,4,Aerospace
2025,third_quarter,MMM,66243304.801502965,3,Medicare/Medicaid
2024,first_quarter,LBR,32090682.30226032,1,Labor Issues/Antitrust/Workplace
2024,first_quarter,IMM,16268197.150947278,1,Immigration
2023,first_quarter,FIN,49955665.54592338,1,Financial Institutions/Investments/Securities
2025,fourth_quarter,ENV,35548874.44734803,4,Environment/Superfund
2026,first_quarter,TEC,35049927.80799748,1,Telecommunications
2023,first_quarter,AUT,8803509.942093201,1,Automotive Industry
2023,first_quarter,IND,5882142.944318373,1,Indian/Native American Affairs
2025,second_quarter,TAR,12423530.20572209,2,Tariff (miscellaneous tariff bills)
2022,second_quarter,MAR,7344706.227259995,2,Marine/Maritime/Boating/Fisheries
2022,fourth_quarter,ECN,7032775.196504713,4,Economics/Economic Development
2025,second_quarter,TEC,33277668.41617146,2,Telecommunications
2023,third_quarter,DIS,3874354.0923107974,3,Disaster Planning/Emergencies
2023,first_quarter,AGR,26733934.33982955,1,Agriculture
2025,third_quarter,TOR,2265349.103849367,3,Torts
2025,first_quarter,HOM,22327234.300476085,1,Homeland Security
2024,third_quarter,LBR,30591812.6960632,3,Labor Issues/Antitrust/Workplace
2024,third_quarter,SMB,8099037.947333184,3,Small Business
2025,first_quarter,AER,8042026.056447569,1,Aerospace
2022,fourth_quarter,NAT,13752623.294177467,4,Natural Resources
2026,first_quarter,IND,8387213.738588313,1,Indian/Native American Affairs
2023,fourth_quarter,HOM,21108428.879555687,4,Homeland Security
2023,second_quarter,ENV,30548220.065439064,2,Environment/Superfund
2024,second_quarter,MAR,7826378.148552187,2,Marine/Maritime/Boating/Fisheries
2024,fourth_quarter,GOV,16023663.620561538,4,Government Issues
2023,first_quarter,BEV,1227654.2307692308,1,Beverage Industry
2022,third_quarter,GAM,2016647.7106227106,3,Gaming/Gambling/Casino
2025,third_quarter,HOU,13198220.706013476,3,Housing
2023,third_quarter,WEL,746749.8368780977,3,Welfare
2026,first_quarter,MIA,2578216.5700000003,1,Media (information/publishing)
2024,third_quarter,IMM,13485739.103248585,3,Immigration
2025,second_quarter,AUT,10770317.238991547,2,Automotive Industry
2022,second_quarter,FOR,11481786.259079503,2,Foreign Relations
2024,first_quarter,ENG,51171587.72061971,1,Energy/Nuclear
2022,first_quarter,ECN,7656423.655892792,1,Economics/Economic Development
2023,first_quarter,FOO,6538315.633972002,1,"Food Industry (safety, labeling, etc.)"
2024,third_quarter,LAW,9594320.675429167,3,Law Enforcement/Crime/Criminal Justice
2025,third_quarter,CON,5831509.285650574,3,Constitution
2024,second_quarter,TOB,5526366.064935064,2,Tobacco
2025,second_quarter,IND,9664396.709668111,2,Indian/Native American Affairs
2025,second_quarter,AVI,18108559.963960048,2,Aviation/Airlines/Airports
2022,second_quarter,RET,10568786.372370278,2,Retirement
2022,second_quarter,CPI,34930483.70777445,2,Computer Industry
2024,first_quarter,RES,2688115.0161616164,1,Real Estate/Land Use/Conservation
2024,fourth_quarter,AVI,15978916.620192837,4,Aviation/Airlines/Airports
2023,second_quarter,MED,5528603.271656122,2,Medical/Disease Research/Clinical Labs
2022,third_quarter,ENV,30763418.03357511,3,Environment/Superfund
2022,third_quarter,WEL,632609.5539316328,3,Welfare
2026,first_quarter,TAR,12693040.671869583,1,Tariff (miscellaneous tariff bills)
2024,second_quarter,CPI,15139570.008996729,2,Computer Industry
2025,third_quarter,URB,3330533.13997114,3,Urban Development/Municipalities
2022,fourth_quarter,CHM,5579524.271315907,4,Chemicals/Chemical Industry
2025,fourth_quarter,GAM,3082238.0952380956,4,Gaming/Gambling/Casino
2023,third_quarter,ALC,1305319.2281085583,3,Alcohol and Drug Abuse
2023,fourth_quarter,PHA,16284790.766813742,4,Pharmacy
2025,fourth_quarter,DIS,6066629.241085261,4,Disaster Planning/Emergencies
2023,third_quarter,UTI,3530197.2790268557,3,Utilities
2022,third_quarter,MED,6321657.235651282,3,Medical/Disease Research/Clinical Labs
2026,first_quarter,AUT,12533371.982739482,1,Automotive Industry
2024,fourth_quarter,AUT,9040122.782316187,4,Automotive Industry
2024,third_quarter,RRR,4026008.329916081,3,Railroads
2024,first_quarter,LAW,11107151.83307548,1,Law Enforcement/Crime/Criminal Justice
2025,second_quarter,FOO,8899811.038015867,2,"Food Industry (safety, labeling, etc.)"
2022,first_quarter,CHM,5000609.11208739,1,Chemicals/Chemical Industry
2023,second_quarter,DIS,4733433.950230128,2,Disaster Planning/Emergencies
2025,first_quarter,POS,3068438.8892496387,1,Postal
